PPID,Type,Stim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
220310CKOB1,Stimulus,nw,241,301,361,601,,,,,,,,,,,,,,,,,,,,
220315CNOR1,Stimulus,ss,421,481,901,1021,1081,1261,,,,,,,,,,,,,,,,,,
220315CNOR1,Stimulus,fw,1,241,361,541,601,781,841,1141,1321,1381,,,,,,,,,,,,,,
220315CNOR1,Stimulus,bp,61,121,181,661,,,,,,,,,,,,,,,,,,,,
220315CNOR1,Stimulus,nw,301,721,961,1201,,,,,,,,,,,,,,,,,,,,
220322ALIU1,Stimulus,ss,121,181,361,961,1021,1081,,,,,,,,,,,,,,,,,,
220322ALIU1,Stimulus,fw,1,241,421,541,781,841,901,1141,1201,1321,,,,,,,,,,,,,,
220322ALIU1,Stimulus,bp,601,721,1261,1381,,,,,,,,,,,,,,,,,,,,
220322ALIU1,Stimulus,nw,61,301,481,661,,,,,,,,,,,,,,,,,,,,
220324OKHE1,Stimulus,ss,181,241,901,961,1081,1321,,,,,,,,,,,,,,,,,,
220324OKHE1,Stimulus,fw,121,301,481,601,781,841,1021,1141,1201,1261,,,,,,,,,,,,,,
220324OKHE1,Stimulus,bp,61,361,541,721,,,,,,,,,,,,,,,,,,,,
220324OKHE1,Stimulus,nw,1,421,661,1381,,,,,,,,,,,,,,,,,,,,
220329OEGB1,Stimulus,,1,61,121,181,241,301,361,421,481,541,601,661,721,781,841,901,961,1021,1081,1141,1201,1261,1321,1381
220405EMCG1,Stimulus,ss,421,661,721,781,841,1381,,,,,,,,,,,,,,,,,,
220405EMCG1,Stimulus,fw,181,301,361,481,541,961,1021,1081,1141,1201,,,,,,,,,,,,,,
220405EMCG1,Stimulus,bp,1,601,1261,1321,,,,,,,,,,,,,,,,,,,,
220405EMCG1,Stimulus,nw,61,121,241,901,,,,,,,,,,,,,,,,,,,,
